station_id,name,lat,lon
39217683,Alfred Roll - Berthier,48.887809,2.300095
353462947,Richard Wallace - Place du 8 Mai 1945,48.878668,2.242034
1559700274,Square Gilbert Thomain,48.907174,2.26954
66491393,Dupleix - du Guesclin,48.851479,2.29671
1062223873,Ancien Canal - Hélène Brion,48.894848,2.418834
49085250,Departement - Pajol,48.886675,2.361361
66491404,Flandre - Riquet,48.888013,2.37376
66491392,Parmentier - Hôpital Saint-Louis,48.87138,2.369896
2515907297,Pasteur - Gambetta,48.845728,2.423601
66491401,Fragonard - Porte de Clichy,48.894156,2.314389
341388492,Place des Ternes.,48.878439,2.297728
985828965,Place de Verdun,48.820282,2.473775
338762459,Edouard Poisson - Victor Hugo,48.911186,2.379865
323486248,Montgallet - Reuilly,48.844291,2.389648
501318622,Montreuil - Gonnet,48.850501,2.389086
213688824,Faustin Hélie - Desbordes-Valmore,48.859403,2.276522
210090269,Jean Macé - Faidherbe,48.853375,2.382862
54000544,Jussieu - Fossés Saint-Bernard,48.847186,2.353486
66491370,Jacques Callot - Mazarine,48.85528,2.337574
27071684,Porte de Vincennes,48.846454,2.415514
38263504,Place Jacques Madaule,48.823934,2.260692
82337423,Varenne,48.857203,2.315277
20523046082,Porte de la Chapelle - Boulevard Ney,48.900097,2.358601
49403716,Commandant Rivière,48.872933,2.309796
470807791,Jardin d'Acclimatation,48.878772,2.270772
568135465,Paul Vaillant Couturier - Chaptal,48.89348,2.277525
82450803,Square Cambronne,48.847567,2.302569
214102967,Gare de Laplace,48.808932,2.334946
54000597,Bayen - Pereire,48.881804,2.292109
2515658032,Clignancourt - Sofia,48.88512,2.347195
652192395,Route de Sèvres - Porte de Bagatelle,48.87526,2.249416
571923059,Bordier - Félix Faure,48.903908,2.383006
54000635,Félix Faure - Sadi Carnot,48.908121,2.378623
357409723,Place Violet,48.844879,2.290576
1062179194,18 juin 1940 - Buzenval,48.868807,2.185428
1063017616,Mairie de La Garenne Colombes,48.906638,2.246796
378648513,Jean Colly - Tolbiac,48.827817,2.370549
27278603,Porte de la Villette,48.898352,2.38615
13497763,Ouest - Château ,48.836173,2.319392
653042442,Place aux Étoiles,48.918356,2.352343
49807107,Flandrin - Henri Martin,48.864328,2.272417
210747224,Pirogues de Bercy - Libourne,48.832308,2.38637
17992442278,Place du 8 Mai 1945,48.871552,2.202503
52393,Grands Moulins de Pantin,48.897384,2.395999
570185777,Gare de Courbevoie,48.899387,2.250651
473204291,Victor Hugo - Magasins Généraux,48.903281,2.368072
27363103,Porte d'Auteuil,48.847939,2.26084
631773910,Carnot - Pâquerettes,48.795929,2.426184
49368561,Jules Ferry - Faubourg du Temple Paris,48.868397,2.367893
210568512,Assemblée Nationale,48.861411,2.320121
82445192,Gare Montparnasse - René Mouchotte,48.839204,2.320884
85145704,Réunion - Avron,48.852567,2.403928
653062048,Gare du Nord - Place de Valenciennes,48.879089,2.354235
85165045,Place Jean-Baptiste Clément,48.812405,2.361709
475524450,Chanzy - Sud-Est,48.888912,2.195632
653048150,Jussieu - Guy de la Brosse,48.845665,2.355653
244400797,Jean Lolive - Parc Stalingrad,48.892062,2.409174
20531346153,René Boulanger - Lancry,48.868769,2.359875
129001431,Courcelles - Place des Ternes,48.8782,2.299286
653203262,Parc Pierre Lagravère,48.926505,2.23907
406806401,Guichet - Jean Jaurès,48.90517,2.302384
1063035479,Parvis Robert Schuman - Roger Salengro,48.812657,2.192175
54000595,Navier - Epinettes,48.895878,2.322678
82571110,Verdun - Place Henri IV,48.870797,2.2277
217235307,Place Carnot,48.855939,2.441532
82421994,Gare de Bercy,48.839795,2.382607
129086648,Ceinture du Lac Inferieure - Saint-Cloud,48.862181,2.261787
217572769,Anatole France - Jean Lolive,48.894992,2.425376
214298601,Boyer-Barret - Raymond Losserand,48.833299,2.317338
129125489,Piat - Parc de Belleville,48.871956,2.384981
26958435,Square des Saint-Simoniens,48.87018,2.396727
213922790,Champeaux - Gallieni,48.864459,2.416178
37936869,Assas - Vaugirard,48.848274,2.329241
19016722230,Raymond Poincaré - Allée de la Marche,48.838634,2.17241
210748575,Gravelle - Route du Bac,48.824407,2.418455
129119449,Ménilmontant - Pelleport,48.870683,2.39896
6385,Petit - Manin,48.886507,2.393816
214122655,Lagny - Joffre,48.849307,2.41795
129077035,Emeriau - Place de Brazzaville,48.850785,2.287159
15461933,Parc Monceau,48.881078,2.309549
216473073,Tardieu - Chappe,48.884147,2.341845
37521,Petites Ecuries - Faubourg Poissonnière,48.873972,2.348389
216039437,Lamennais - Washington,48.87353,2.303445
985086307,Gare d'Asnières sur Seine,48.906365,2.283507
82458977,Place Falguière,48.8363,2.310446
129103849,Francoeur - Marcadet,48.891041,2.340015
1057009034,Henri Chevreau - Couronnes,48.870332,2.388778
82334007,Pascal - Claude Bernard,48.839062,2.349978
214146056,Vignerons - Minimes,48.841486,2.430793
85008390,Grenelle - Dr Finlay,48.851315,2.29195
43155320,Porte d'Orléans,48.822764,2.324931
221047138,Pierre et Marie Curie - Julien Grimau,48.870714,2.424097
210567545,Raspail - Varenne,48.853148,2.326391
129130397,Pierre Grenier - Pont de Billancourt,48.825802,2.248799
653129412,Vladimir Ilitch Lénine - Andrée Chedid,48.81324,2.331972
419381597,Professeur René Leriche - Général Leclerc ,48.907828,2.307888
54000466,Uzès - Montmartre,48.870791,2.343101
426772876,Ledru-Rollin - Charonne,48.853459,2.377246
653046029,Place Valhubert,48.844183,2.364037
54000548,Quai Voltaire,48.858943,2.331418
27414601,Saint-François-Xavier,48.851545,2.314615
215495494,Batignolles - Place de Clichy,48.883475,2.326493
15308782,Sommerard - Saint-Jacques,48.85031,2.345016
20431134793,Château -République,48.905905,2.253453
74620630,Parc de Belleville - Julien Lacroix,48.870346,2.384221
129091653,Gare de Pont-Cardinet,48.887139,2.314494
129036192,Gare de l'Est - Verdun,48.876156,2.360915
11004671601,Capitaine Glarner - Gabriel Péri,48.90245,2.330481
210754072,Place Jean Delay,48.823316,2.354336
419991048,Pont de Levallois-bécon ,48.898418,2.279131
2820744873,Pierre Larousse - Raymond Losserand,48.830596,2.311918
213676825,Pitié-Salpêtrière,48.837488,2.365214
20636558756,Dunkerque - Maubeuge,48.880433,2.35289
15299574,Charles Delescluze,48.852422,2.380632
41566122,Vasco de Gama,48.836718,2.283664
963786819,Jonquoy - Didot,48.828905,2.316481
427678168,Lucien Sampaix - Récollets,48.87433,2.362123
976762284,Place du Général de Gaulle,48.852529,2.487733
82421013,Charenton - Place du Col Bourgoin,48.844867,2.382579
434419150,Bara - Henri Farman,48.833218,2.267757
220502135,Porte Dorée,48.835434,2.407713
129114993,Belleville - Porte des Lilas,48.876604,2.40477
220726050,Mézières - Rennes ,48.850235,2.330382
254224239,Place Adolphe Cherioux - Vaugirard,48.839594,2.301066
85118872,Indre - Prairies,48.862544,2.40329
100859941,Raspail - Bac,48.855629,2.32566
224589573,Michelet - Assas,48.842742,2.335021
252339799,Edouard Vaillant - Paul-Adolphe Souriau,48.834846,2.247946
129134084,Morice - Général Leclerc,48.902455,2.312893
1805401614,Sèvres-Gallieni,48.837809,2.228152
20432939844,Labouret - Saint-Denis,48.924067,2.253916
129116697,Tanger - Place du Maroc,48.886252,2.36893
977409509,Vincennes - Douy-Delcupe,48.854937,2.436049
653055049,Place du Cornillon - Stade de France,48.925407,2.364443
221041655,Porte de Clignancourt.,48.897488,2.343996
1057769632,Porte de Saint-Ouen - Henri Huchard,48.898708,2.329536
1333959209,Génie - Mozart,48.794902,2.373418
213690256,Place du Maréchal Juin - Péreire,48.885263,2.298286
120564786,Filles Saint-Thomas - Place de la Bourse,48.8689,2.339754
632007124,Lucie Aubrac - Franklin,48.862239,2.443586
977206088,Hôtel de Ville d'Argenteuil,48.946504,2.24964
213868408,Gare Routière de Saint Cloud,48.842882,2.222245
129061615,Primo Levi - Frigos,48.830948,2.379654
224598098,Dunois - Clisson,48.832294,2.367452
82508970,Verdun - Adrien Damalix,48.822233,2.421533
653055097,Milton - Manuel,48.878249,2.341181
27246227,Edouard Pailleron - Simon Bolivar ,48.879799,2.374839
63297,Eglise d'Auteuil,48.847498,2.268484
95927849,Jean Jaurès - Jean Baptiste Clément ,48.845763,2.236965
102341385,Château - Bineau,48.890404,2.270106
54000605,Mairie du 18ème,48.892939,2.344551
979059925,Bridaine - Lamandé,48.886207,2.320624
6512,Porte de Ménilmontant,48.869154,2.409322
27363323,Laffitte - Italiens,48.871816,2.337202
10968855,Colonel Monteil - Brune,48.826503,2.309275
221038698,Mahatma Gandhi,48.876356,2.264205
82381710,Batignolles - Rome,48.881823,2.320259
129145892,Paris - Désiré Préaux,48.857429,2.432305
102289046,Lourmel - Marie Skobtsov,48.844974,2.287283
124402232,Belleville - Télégraphe,48.875605,2.399555
27415327,Courcelles - Pierre Demours,48.88377,2.298585
1063404053,République - Danton,48.852492,2.462035
989753852,Square des Epinettes,48.893839,2.325954
82577019,Cité des Sciences et de l'Industrie,48.896596,2.384599
39256416,Pajol - Riquet ,48.8896,2.362853
255207155,Lassus - Delouvain,48.875504,2.389033
63769334,Emile Blemont - Poteau,48.894378,2.341512
129136818,Square du Carrefour de l'Insurrection,48.820865,2.291113
653080986,Toffier Decaux - Cartier Bresson,48.901651,2.401755
27415469,Orteaux - Mouraud,48.855586,2.408763
84979504,Provence - Chaussée d'Antin,48.874284,2.332977
653059015,Bellefond - Maubeuge,48.878255,2.345264
85120104,Pelleport - Belgrand,48.865001,2.403981
205047993,Edgar Quinet - Raspail,48.839403,2.329715
101748685,Place Etienne Pernet,48.842435,2.292182
54000608,Porte d'Aubervilliers,48.898597,2.368972
121025345,Chabrol - d'Hauteville,48.877018,2.351318
213692714,Lepic - Armée d'Orient,48.887536,2.334308
11218807773,Hôtel de Ville de Saint-Ouen,48.91138,2.334008
54000598,Mac-Mahon - Brey,48.877532,2.294513
2515976231,Nanterre - Université,48.901365,2.212693
66491394,Square Saint-Ambroise,48.860934,2.375841
102743096,Sadi Carnot - François Mitterrand ,48.875327,2.424162
126175087,Gabrielle Josserand - Edouard Vaillant,48.902716,2.393327
1057184567,Paul Signac - Aristide Briand,48.869503,2.450226
101746493,Théâtre - Lourmel,48.848207,2.289866
27363137,Hameau Fleuri - Marché,48.831449,2.24124
653050378,Square René Viviani - Montebello,48.851905,2.347842
82404497,Ledru-Rollin - Place du Père Chaillet,48.856434,2.379021
1968156458,Ecole Vétérinaire,48.814889,2.422436
991351798,Aubervilliers - Curial,48.890883,2.368858
7304,Bassano -  Iéna,48.868145,2.29615
43255030,Pereire - Ternes,48.87974,2.288012
1002738770,Lavandieres Sainte Opportune - Rivoli,48.85928,2.346622
15409531,Méchain - Faubourg Saint-Jacques,48.835868,2.33798
29327,Stade Auguste Delaune,48.808964,2.43452
36298,Jean-Baptiste Pigalle - La Bruyere,48.879398,2.333709
